year,Week,timerange,death,injuries
2013,Tuesday,Night,0,2
2013,Thursday,Evening,0,1
2013,Friday,Evening,0,0
2013,Friday,Night,0,0
2013,Saturday,Night,0,1
2013,Monday,Evening,0,0
2013,Friday,Night,0,1
2013,Wednesday,Evening,0,1
2013,Friday,Afternoon,1,0
2013,Tuesday,Night,0,1
2013,Thursday,Evening,0,1
2013,Tuesday,Evening,0,1
2013,Wednesday,Night,0,0
2013,Wednesday,Evening,0,0
2013,Wednesday,Morning,0,1
2013,Sunday,Night,1,1
2013,Monday,Evening,1,0
2013,Saturday,Night,0,0
2013,Saturday,Night,0,0
2013,Saturday,Night,0,0
2013,Sunday,Evening,1,0
2013,Sunday,Night,0,1
2013,Sunday,Evening,0,1
2013,Tuesday,Evening,0,0
2013,Wednesday,Evening,0,0
2013,Saturday,Night,0,1
2013,Sunday,Night,1,0
2013,Sunday,Night,0,0
2013,Sunday,Night,0,1
2013,Wednesday,Evening,0,0
2013,Friday,Evening,0,0
2013,Friday,Evening,0,1
2013,Thursday,Afternoon,0,0
2013,Saturday,Evening,0,0
2013,Saturday,Night,0,0
2013,Monday,Night,0,1
2013,Tuesday,Evening,0,2
2013,Tuesday,Evening,0,1
2013,Thursday,Evening,1,0
2013,Friday,Evening,0,0
2013,Monday,Evening,0,0
2013,Monday,Evening,0,0
2013,Tuesday,Night,0,0
2013,Thursday,Night,1,1
2013,Thursday,Evening,0,0
2013,Friday,Afternoon,0,2
2013,Saturday,Evening,1,1
2013,Monday,Morning,0,1
2013,Monday,Afternoon,0,0
2013,Tuesday,Evening,0,1
2013,Wednesday,Evening,0,1
2013,Wednesday,Evening,0,0
2013,Saturday,Afternoon,0,0
2013,Sunday,Evening,0,1
2013,Monday,Evening,0,1
2013,Tuesday,Evening,0,0
2013,Saturday,Morning,0,0
2013,Saturday,Night,0,0
2013,Sunday,Evening,0,1
2013,Monday,Evening,0,0
2013,Tuesday,Evening,0,0
2013,Thursday,Night,0,1
2013,Friday,Afternoon,0,0
2013,Sunday,Night,0,2
2013,Thursday,Afternoon,0,1
2013,Thursday,Evening,1,1
2013,Friday,Afternoon,0,1
2013,Monday,Evening,0,1
2013,Tuesday,Evening,0,0
2013,Tuesday,Night,0,0
2013,Thursday,Morning,0,0
2013,Friday,Afternoon,0,0
2013,Saturday,Night,0,0
2013,Friday,Evening,0,1
2013,Friday,Night,0,0
2013,Saturday,Night,0,1
2013,Sunday,Evening,0,0
2013,Sunday,Afternoon,0,1
2013,Thursday,Afternoon,0,0
2013,Friday,Night,0,0
2013,Sunday,Evening,1,0
2013,Monday,Evening,0,1
2013,Tuesday,Night,0,1
2013,Thursday,Night,0,1
2013,Saturday,Afternoon,0,0
2013,Thursday,Afternoon,1,0
2013,Friday,Evening,0,0
2013,Friday,Evening,0,0
2013,Monday,Afternoon,0,0
2013,Tuesday,Evening,0,1
2013,Wednesday,Evening,0,1
2013,Wednesday,Evening,0,0
2013,Sunday,Night,1,0
2013,Friday,Evening,0,0
2013,Friday,Afternoon,0,1
2013,Saturday,Evening,0,1
2013,Wednesday,Evening,0,1
2013,Friday,Night,0,0
2013,Sunday,Night,0,0
2013,Monday,Night,0,0
2013,Monday,Afternoon,0,1
2013,Tuesday,Night,0,0
2013,Thursday,Night,0,1
2013,Thursday,Afternoon,0,1
2013,Saturday,Night,0,0
2013,Sunday,Night,0,0
2013,Sunday,Night,0,1
2013,Monday,Evening,0,1
2013,Sunday,Evening,0,0
2013,Monday,Evening,0,0
2013,Saturday,Night,0,1
2013,Sunday,Evening,1,0
2013,Sunday,Morning,0,1
2013,Thursday,Night,0,1
2013,Thursday,Evening,0,1
2013,Friday,Night,0,1
2013,Saturday,Evening,0,1
2013,Sunday,Evening,0,0
2013,Sunday,Night,0,0
2013,Sunday,Night,0,0
2013,Monday,Afternoon,1,0
2013,Monday,Night,0,1
2013,Wednesday,Night,0,0
2013,Wednesday,Afternoon,0,0
2013,Wednesday,Evening,0,0
2013,Thursday,Evening,0,1
2013,Thursday,Evening,0,0
2013,Friday,Morning,0,0
2013,Friday,Night,0,1
2013,Monday,Evening,0,1
2013,Monday,Afternoon,1,0
2013,Tuesday,Afternoon,0,2
2013,Wednesday,Morning,0,1
2013,Wednesday,Evening,0,0
2013,Thursday,Evening,0,0
2013,Friday,Afternoon,0,1
2013,Saturday,Night,0,1
2013,Sunday,Night,0,2
2013,Wednesday,Night,0,1
2013,Wednesday,Night,0,1
2013,Friday,Afternoon,2,0
2013,Saturday,Night,0,0
2013,Saturday,Night,0,0
2013,Sunday,Night,0,2
2013,Sunday,Evening,0,0
2013,Sunday,Evening,0,0
2013,Friday,Evening,0,1
2013,Sunday,Evening,0,0
2013,Sunday,Night,1,0
2013,Monday,Night,0,1
2013,Tuesday,Evening,0,0
2013,Wednesday,Afternoon,0,1
2013,Thursday,Evening,0,1
2013,Wednesday,Night,0,0
2013,Thursday,Afternoon,0,0
2013,Friday,Night,0,1
2013,Sunday,Night,0,0
2013,Sunday,Night,0,0
2013,Tuesday,Night,1,0
2013,Wednesday,Morning,0,0
2013,Sunday,Night,0,5
2013,Monday,Night,0,1
2013,Monday,Afternoon,1,0
2013,Tuesday,Night,0,1
2013,Saturday,Night,0,0
2013,Saturday,Evening,0,0
2013,Monday,Evening,0,0
2013,Wednesday,Night,0,0
2013,Thursday,Night,0,1
2013,Tuesday,Evening,0,1
2013,Saturday,Afternoon,0,1
2013,Sunday,Night,0,0
2013,Monday,Night,0,1
2013,Tuesday,Evening,0,1
2013,Saturday,Night,0,1
2013,Monday,Evening,0,2
2013,Wednesday,Evening,0,1
2013,Saturday,Night,0,1
2013,Tuesday,Afternoon,0,4
2013,Sunday,Night,1,0
2013,Monday,Evening,0,3
2013,Friday,Evening,0,0
2013,Wednesday,Evening,0,0
2013,Sunday,Evening,1,0
2013,Friday,Night,0,0
2013,Sunday,Afternoon,0,0
2013,Thursday,Evening,0,2
2013,Friday,Afternoon,0,1
2013,Sunday,Night,0,1
2013,Sunday,Evening,0,1
2013,Monday,Night,0,1
2013,Wednesday,Evening,0,1
2013,Thursday,Afternoon,0,1
2013,Saturday,Evening,0,1
2013,Thursday,Afternoon,0,1
2013,Tuesday,Night,0,1
2013,Tuesday,Afternoon,0,1
2013,Wednesday,Afternoon,0,1
