year,timerange,division,death,injuries
2013,Night,D51,0,2
2013,Evening,D12,0,1
2013,Evening,D32,0,0
2013,Night,D31,0,0
2013,Night,D23,0,1
2013,Evening,D31,0,0
2013,Night,D22,0,1
2013,Evening,D23,0,1
2013,Afternoon,D51,1,0
2013,Night,D31,0,1
2013,Evening,D55,0,1
2013,Evening,D23,0,1
2013,Night,D51,0,0
2013,Evening,D41,0,0
2013,Morning,D51,0,1
2013,Night,D14,1,1
2013,Evening,D31,1,0
2013,Night,D14,0,0
2013,Night,D52,0,0
2013,Night,D14,0,0
2013,Evening,D23,1,0
2013,Night,D12,0,1
2013,Evening,D12,0,1
2013,Evening,D54,0,0
2013,Evening,D51,0,0
2013,Night,D55,0,1
2013,Night,D31,1,0
2013,Night,D51,0,0
2013,Night,D31,0,1
2013,Evening,D12,0,0
2013,Evening,D32,0,0
2013,Evening,D11,0,1
2013,Afternoon,D23,0,0
2013,Evening,D14,0,0
2013,Night,D23,0,0
2013,Night,D32,0,1
2013,Evening,D23,0,2
2013,Evening,D11,0,1
2013,Evening,D51,1,0
2013,Evening,D22,0,0
2013,Evening,D42,0,0
2013,Evening,D23,0,0
2013,Night,D31,0,0
2013,Night,D14,1,1
2013,Evening,D31,0,0
2013,Afternoon,D41,0,2
2013,Evening,D32,1,1
2013,Morning,D55,0,1
2013,Afternoon,D11,0,0
2013,Evening,D41,0,1
2013,Evening,D32,0,1
2013,Evening,D23,0,0
2013,Afternoon,D31,0,0
2013,Evening,D23,0,1
2013,Evening,D23,0,1
2013,Evening,D23,0,0
2013,Morning,D54,0,0
2013,Night,D43,0,0
2013,Evening,D54,0,1
2013,Evening,D51,0,0
2013,Evening,D51,0,0
2013,Night,D14,0,1
2013,Afternoon,D31,0,0
2013,Night,D11,0,2
2013,Afternoon,D12,0,1
2013,Evening,D42,1,1
2013,Afternoon,D31,0,1
2013,Evening,D12,0,1
2013,Evening,D13,0,0
2013,Night,D41,0,0
2013,Morning,D51,0,0
2013,Afternoon,D41,0,0
2013,Night,D54,0,0
2013,Evening,D54,0,1
2013,Night,D43,0,0
2013,Night,D32,0,1
2013,Evening,D51,0,0
2013,Afternoon,D42,0,1
2013,Afternoon,D22,0,0
2013,Night,D23,0,0
2013,Evening,D14,1,0
2013,Evening,D55,0,1
2013,Night,D23,0,1
2013,Night,D43,0,1
2013,Afternoon,D14,0,0
2013,Afternoon,D42,1,0
2013,Evening,D23,0,0
2013,Evening,D52,0,0
2013,Afternoon,D31,0,0
2013,Evening,D14,0,1
2013,Evening,D31,0,1
2013,Evening,D54,0,0
2013,Night,D32,1,0
2013,Evening,D32,0,0
2013,Afternoon,D54,0,1
2013,Evening,D41,0,1
2013,Evening,D42,0,1
2013,Night,D54,0,0
2013,Night,D42,0,0
2013,Night,D31,0,0
2013,Afternoon,D42,0,1
2013,Night,D14,0,0
2013,Night,D51,0,1
2013,Afternoon,D33,0,1
2013,Night,D14,0,0
2013,Night,D13,0,0
2013,Night,D12,0,1
2013,Evening,D51,0,1
2013,Evening,D51,0,0
2013,Evening,D22,0,0
2013,Night,D54,0,1
2013,Evening,D31,1,0
2013,Morning,D22,0,1
2013,Night,D43,0,1
2013,Evening,D23,0,1
2013,Night,D41,0,1
2013,Evening,D11,0,1
2013,Evening,D31,0,0
2013,Night,D52,0,0
2013,Night,D52,0,0
2013,Afternoon,D11,1,0
2013,Night,D51,0,1
2013,Night,D23,0,0
2013,Afternoon,D31,0,0
2013,Evening,D31,0,0
2013,Evening,D33,0,1
2013,Evening,D23,0,0
2013,Morning,D31,0,0
2013,Night,D14,0,1
2013,Evening,D53,0,1
2013,Afternoon,D23,1,0
2013,Afternoon,D23,0,2
2013,Morning,D31,0,1
2013,Evening,D31,0,0
2013,Evening,D23,0,0
2013,Afternoon,D31,0,1
2013,Night,D23,0,1
2013,Night,D31,0,2
2013,Night,D51,0,1
2013,Night,D51,0,1
2013,Afternoon,D31,2,0
2013,Night,D23,0,0
2013,Night,D23,0,0
2013,Night,D11,0,2
2013,Evening,D14,0,0
2013,Evening,D23,0,0
2013,Evening,D22,0,1
2013,Evening,D31,0,0
2013,Night,D12,1,0
2013,Night,D43,0,1
2013,Evening,D55,0,0
2013,Afternoon,D55,0,1
2013,Evening,D23,0,1
2013,Night,D31,0,0
2013,Afternoon,D43,0,0
2013,Night,D32,0,1
2013,Night,D14,0,0
2013,Night,D23,0,0
2013,Night,D23,1,0
2013,Morning,D14,0,0
2013,Night,D53,0,5
2013,Night,D42,0,1
2013,Afternoon,D51,1,0
